idUsuario,	idEpisodio,	tipo_reaccion,	fecha
1,	6,	Me gusta,	2024-04-15 10:30:00
2,	7,	No me gusta,	2024-03-20 11:00:00
3,	8,	Me encanta,	2024-04-30 09:45:00
4,	9,	Me gusta,	2024-02-14 08:20:00
5,	10,	Me gusta,	2024-01-25 14:15:00
6,	1,	Me encanta,	2024-03-16 12:00:00
7,	2,	Me gusta,	2024-05-17 15:45:00
8,	3,	No me gusta,	2024-01-28 16:30:00
9,	4,	Me gusta,	2024-02-29 18:00:00
10,	5,	Me encanta,	2024-03-10 19:15:00
1,	11,	Me encanta,	2024-04-01 10:30:00
2,	12,	Me gusta,	2024-03-12 11:00:00
3,	13,	No me gusta,	2024-02-22 09:45:00
4,	14,	Me gusta,	2024-01-18 08:20:00
5,	15,	Me encanta,	2024-05-05 14:15:00
6,	16,	Me gusta,	2024-02-24 12:00:00
7,	17,	Me encanta,	2024-04-11 15:45:00
8,	18,	Me gusta,	2024-03-14 16:30:00
9,	19,	No me gusta,	2024-05-09 18:00:00
10,	20,	Me gusta,	2024-04-21 19:15:00
